Data,Hora,Year,Month,Valor,Descrição,,
15/11/22,02:24,2022,Nov,-77.00,Cutisque Cu,,"-77,00"
15/11/22,06:06,2022,Nov,0.02,Remuneração-Cta Pgto,,"0,02"
17/11/22,06:06,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
17/11/22,09:53,2022,Nov,-39.00,Auto Posto Jiris Cu,,"-39,00"
17/11/22,17:40,2022,Nov,100.00,Transferência_LuchtTransportesLtda,,"100,00"
17/11/22,17:43,2022,Nov,-70.00,Beef & Cia Cu,,"-70,00"
17/11/22,18:19,2022,Nov,-5.95,Panif Sao Paulo Cu,,"-5,95"
18/11/22,07:24,2022,Nov,400.00,Transferência_LuchtTransportesLtda,,"400,00"
18/11/22,07:40,2022,Nov,-270.00,Auto Posto Jiris Cu,,"-270,00"
18/11/22,09:41,2022,Nov,500.00,Transferência_LuchtTransportesLtda,,"500,00"
18/11/22,09:48,2022,Nov,-267.00,Bd Comercio Cu,,"-267,00"
18/11/22,10:05,2022,Nov,-240.00,Servopa Caminhoes Cu,,"-240,00"
18/11/22,15:23,2022,Nov,778.40,Transferência entre Contas,,"778,40"
19/11/22,06:06,2022,Nov,0.02,Remuneração-Cta Pgto,,"0,02"
19/11/22,08:07,2022,Nov,-600.00,Pix Enviado-Conta Transacional,,"-600,00"
19/11/22,10:38,2022,Nov,-20.00,Jhonathanwillian Cu,,"-20,00"
19/11/22,12:07,2022,Nov,-53.00,Antoniodonisetela Cu,,"-53,00"
19/11/22,12:38,2022,Nov,-62.00,Aniltondemori Cu,,"-62,00"
20/11/22,09:36,2022,Nov,1600.00,Transferência_LuchtTransportesLtda,,"1600,00"
20/11/22,09:40,2022,Nov,-804.00,Auto Posto Jiris Cu,,"-804,00"
20/11/22,12:14,2022,Nov,-730.00,Auto Posto Jiris Cu,,"-730,00"
20/11/22,14:27,2022,Nov,-150.00,Auto Posto Jiris Cu,,"-150,00"
20/11/22,20:41,2022,Nov,-28.73,Farmacia E Drogaria Ni Cu,,"-28,73"
21/11/22,02:37,2022,Nov,-36.00,Adilson Kelesk 0387455 Cu,,"-36,00"
21/11/22,10:27,2022,Nov,2335.20,Transferência entre Contas,,"2335,20"
21/11/22,11:13,2022,Nov,-2000.00,Pix Enviado-Conta Transacional,,"-2000,00"
21/11/22,12:03,2022,Nov,-87.50,Marcosaugusto Cu,,"-87,50"
21/11/22,12:07,2022,Nov,-21.49,Boi Douro Casa De Carn Fa,,"-21,49"
22/11/22,06:06,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
22/11/22,08:25,2022,Nov,400.00,Transferência_LuchtTransportesLtda,,"400,00"
22/11/22,09:03,2022,Nov,-570.00,Auto Posto Jiris Cu,,"-570,00"
22/11/22,11:16,2022,Nov,-40.70,Marcosaugusto Cu,,"-40,70"
22/11/22,18:30,2022,Nov,-11.00,Auto Posto Jiris Cu,,"-11,00"
23/11/22,17:25,2022,Nov,-44.50,Marcosaugusto Cu,,"-44,50"
24/11/22,10:35,2022,Nov,1556.80,Transferência entre Contas,,"1556,80"
24/11/22,11:31,2022,Nov,-1315.00,Pix Enviado-Conta Transacional,,"-1315,00"
24/11/22,12:27,2022,Nov,1556.80,Transferência entre Contas,,"1556,80"
24/11/22,14:22,2022,Nov,-43.99,Carvalhosbebidas Cu,,"-43,99"
24/11/22,14:33,2022,Nov,-2.75,Maurorosada Cu,,"-2,75"
25/11/22,06:07,2022,Nov,0.04,Remuneração-Cta Pgto,,"0,04"
25/11/22,07:31,2022,Nov,-359.50,Auto Posto Jiris Cu,,"-359,50"
25/11/22,09:49,2022,Nov,-1000.00,Pix Enviado-Conta Transacional,,"-1000,00"
25/11/22,12:23,2022,Nov,-42.77,Beef & Cia Cu,,"-42,77"
25/11/22,14:44,2022,Nov,-29.49,Beef & Cia Cu,,"-29,49"
25/11/22,15:22,2022,Nov,-35.00,Borracharia Cu,,"-35,00"
25/11/22,15:33,2022,Nov,200.00,Transferência_LuchtTransportesLtda,,"200,00"
25/11/22,15:35,2022,Nov,-334.50,Auto Posto Jiris Cu,,"-334,50"
25/11/22,16:22,2022,Nov,-53.57,Toko Frios Alimentos Cu,,"-53,57"
25/11/22,17:00,2022,Nov,1556.80,Transferência entre Contas,,"1556,80"
25/11/22,17:02,2022,Nov,-12.00,Maurorosada Cu,,"-12,00"
25/11/22,17:55,2022,Nov,-452.52,Pix Enviado-Conta Transacional,,"-452,52"
25/11/22,18:03,2022,Nov,-70.00,Condor Auto Posto Cu,,"-70,00"
25/11/22,19:15,2022,Nov,-26.90,Restaurante Quinta Ca,,"-26,90"
25/11/22,21:29,2022,Nov,-500.00,Pix Enviado-Conta Transacional,,"-500,00"
26/11/22,06:06,2022,Nov,0.03,Remuneração-Cta Pgto,,"0,03"
26/11/22,10:22,2022,Nov,-350.00,Pix Enviado-Conta Transacional,,"-350,00"
26/11/22,16:22,2022,Nov,-79.00,Auto Posto Jiris Cu,,"-79,00"
27/11/22,06:05,2022,Nov,0.01,Remuneração-Cta Pgto,,"0,01"
27/11/22,11:21,2022,Nov,-86.30,Beef & Cia Cu,,"-86,30"
27/11/22,19:15,2022,Nov,-50.00,Transferência para Lucht Transportes Ltda,,"-50,00"
27/11/22,20:10,2022,Nov,-25.00,Mp *Barneydistrib Os,,"-25,00"
29/11/22,09:26,2022,Nov,65.00,Transferência_LuchtTransportesLtda,,"65,00"
29/11/22,09:30,2022,Nov,-69.00,Vinicar Com Pecas Fa,,"-69,00"
